age,job_hours_decimal
25,.34065858
26,.3402108
27,.34026787
28,.33695775
29,.33703724
30,.3320033
31,.33690539
32,.33203474
33,.32917947
34,.33116633
35,.3229118
36,.32463124
37,.32515457
38,.32777235
39,.32779428
40,.32974929
41,.33179817
42,.32925135
43,.32881272
44,.33208433
45,.33661112
46,.33374321
47,.33349553
48,.3348937
49,.33482823
50,.33453828
51,.33356616
52,.33676663
53,.33370844
54,.33284858
55,.33077925
56,.32741427
57,.32250616
58,.32093483
59,.31370708
60,.30996343
61,.29981762
62,.29743212
63,.2898314
64,.27872956
65,.2636303
66,.23505934
67,.23113032
68,.21356997
69,.20173246
70,.18762359
71,.19497916
72,.18019404
73,.18219388
74,.17026804
75,.16675325
