age,wage,sd_wage,_merge
25,12.589919,2.3161099,matched (3)
26,12.717196,2.7307365,matched (3)
27,12.868299,2.6014421,matched (3)
28,12.95015,2.7471027,matched (3)
29,13.348249,2.9429896,matched (3)
30,13.634514,3.1230414,matched (3)
31,13.890142,3.2955914,matched (3)
32,14.187984,3.4472528,matched (3)
33,14.271447,3.5547662,matched (3)
34,14.418299,3.5297058,matched (3)
35,14.659378,3.7584963,matched (3)
36,14.905303,3.6396673,matched (3)
37,15.089334,3.7131634,matched (3)
38,15.027328,3.731811,matched (3)
39,15.062497,3.8673086,matched (3)
40,15.069546,3.9025445,matched (3)
41,15.137133,3.9664824,matched (3)
42,15.168822,4.0132532,matched (3)
43,15.189642,3.9395764,matched (3)
44,15.216016,3.9092677,matched (3)
45,15.131186,3.9023292,matched (3)
46,15.152891,4.0064545,matched (3)
47,15.058834,4.0313196,matched (3)
48,15.095716,3.9993691,matched (3)
49,15.018737,3.9461153,matched (3)
50,15.089942,3.9549932,matched (3)
51,15.059261,4.0453587,matched (3)
52,15.076164,3.9282689,matched (3)
53,14.919905,3.8689027,matched (3)
54,14.906962,3.9083846,matched (3)
55,15.046419,4.0426698,matched (3)
56,14.962013,4.0405583,matched (3)
57,14.972312,3.9972477,matched (3)
58,14.851274,4.0878158,matched (3)
59,14.727773,3.9647083,matched (3)
60,14.444592,3.7542708,matched (3)
61,14.546836,3.9028647,matched (3)
62,14.628664,4.1166162,matched (3)
63,14.701319,4.3048315,matched (3)
64,14.728766,3.9431732,matched (3)
65,14.982189,4.118269,matched (3)
66,14.830525,3.8269873,matched (3)
67,15.274787,4.5296464,matched (3)
68,13.757599,3.661272,matched (3)
69,13.119064,3.2135868,matched (3)
70,13.983731,4.9232173,matched (3)
71,13.560671,4.3945465,matched (3)
72,13.251897,3.9690561,matched (3)
73,12.26953,2.1560338,matched (3)
74,13.975105,4.1384053,matched (3)
75,11.459235,1.4902933,matched (3)
