age,correlation
75,.047956016
74,.056732818
73,.033637255
72,.057786103
71,.033770524
70,.03260304
69,.037911873
68,.049991325
67,.046308827
66,.040976346
65,.063775368
64,.06945508
63,.056595605
62,.068319924
61,.096631221
60,.10236598
59,.14976066
58,.15524037
57,.13655929
56,.13800742
55,.16192158
54,.14697692
53,.17366116
52,.1305524
51,.15139948
50,.12189452
49,.11913046
48,.13852283
47,.13616794
46,.12847438
45,.12635686
44,.13944405
43,.14261138
42,.12410489
41,.12192722
40,.13258754
39,.12171457
38,.1224379
37,.10732326
36,.12294444
35,.1056828
34,.11784016
33,.10177441
32,.13412669
31,.11504923
30,.13855723
29,.15647796
28,.12942202
27,.11067103
26,.11439932
25,.11784736
