age,correlation
75,.049077567
74,.049974818
73,.031841867
72,.048944905
71,.051362891
70,.029252457
69,.023573302
68,.053759582
67,.048118219
66,.051946167
65,.062050492
64,.073536709
63,.078056507
62,.075149752
61,.10169449
60,.12054729
59,.1529566
58,.16935869
57,.15945673
56,.16060327
55,.17854378
54,.17504816
53,.19765556
52,.17401145
51,.17672776
50,.1548536
49,.1679689
48,.15386702
47,.17388226
46,.15562661
45,.15339462
44,.17153299
43,.16045338
42,.16211537
41,.16049331
40,.14207071
39,.16000834
38,.15437469
37,.14140196
36,.15146464
35,.12757309
34,.14179385
33,.13376856
32,.14839759
31,.14357252
30,.17933086
29,.17841467
28,.15096411
27,.15185095
26,.14626294
25,.14708
