age,p5,p10,p50,p90,p95
,,,,,
25,580.59998,860,1700,2500,3000
26,648.63,1126.8,3020.7849,4660,5078.9199
27,950,1500,3895.5,6200,7118
28,877.51001,1408.33,4069.02,8108,8965
29,874.32001,1388.4,4160,9700,11408
30,842.03998,1400,4500.835,11123.56,13250
31,961.40997,1600,4812,12300,14253
32,1074.6699,1639,5170,13535,15976.95
33,1070.38,1632,5753.165,14599.5,17804.18
34,1000,1500,6273.665,15523.055,18904
35,1002,1564,6705.21,16370,19285.971
36,808,1570,6543.5,17387.98,20895.42
37,1075.04,1649.48,6951,17648,22556
38,1186.49,1757.47,7010.2998,18099.67,21404.961
39,946,1570.83,6600,18000,21604
40,1100,1680,6612.5,18566.67,21965.42
41,1073.78,1750,6669,18893.33,22521
42,1074.83,1773.6899,6835,19116.221,23284.859
43,1100,1712,6917.7754,19664,23980
44,1084.2,1792,7071.4102,19078,23698.16
45,1100,1700,7300,19551,24429
46,1156.8301,1780,7434,20183.33,25215
47,1258.7,1745,7685.5601,20900,25250
48,1153.655,1800,7694.5703,21093.98,26145.012
49,1315,1900,7822.04,21912.609,26935.5
50,1400,1885.36,7990,21553,27024.621
51,1205,1850,7954.0449,20936.85,26291.67
52,1330.09,2000,8313.7197,21600,26750
53,1258.66,1792.045,8149.9302,21532.955,26690.289
54,1260.3,1867,8468.8105,21433.33,27548.789
55,1183.845,1807.5,8108.625,22003.48,27336.004
56,1098.8,1800,8277.415,21075,27065.42
57,1238,1800,8387.21,21019.029,26728
58,1083.33,1771.5,7973.3301,21310,25908
59,1052.89,1699.23,7997.5,20750.439,26006
60,1039.88,1788.76,7900,20556,26072.23
61,893.67004,1554.0699,7941.4551,19800,25230.67
62,750,1479.8201,7924.6899,19767.58,25731.551
63,742.44,1231.3201,7504.9902,21199,26152.869
64,708,1184.96,6400,19352,25059.961
65,650,1187.77,6890.7251,19390,27514
66,619.40002,1000,5756.3203,18481.25,26197.461
67,480,904.66998,6000,18483.721,22680.99
68,503.07999,1142.25,4986.0703,16968.949,23118.92
69,377,862.01001,4336.29,16251.57,24166
70,493.82001,950,4580.1851,16512.939,21788.74
71,200,500,4602,16035.7,23626.74
72,503.82001,820.09998,5183.4399,15569.9,20068.07
73,325,520,3246.3301,14058.08,17649.92
74,203.20999,411.03,3649.625,14206.5,16350.05
75,280,407.065,2951.22,10307.97,12713.73
