age,p5,p10,p50,p90,p95
,,,,,
25,580.59998,859.62,1700,2383.3301,2680
26,446,658.90997,1700,2500,2800
27,480,830.83002,1750,2470,3000
28,450,748.40002,1717.9,2600,3120
29,390,699.03003,1800,2700,3370
30,433.32999,735,1800,2700,3400
31,380.66,736.66998,1800,2856,3475.8701
32,489.17001,785.71997,1850,3000,3517.0901
33,504.07001,800,1850,3098,3756
34,452.92999,800,1870,3166.6699,3792
35,520,751,1897.5,3152,3900
36,450,700,1900,3180,3786
37,490.10999,760,1964,3300,4000
38,500.16,830,1998.995,3351,4027
39,421.17999,741,1955.405,3300,4012.27
40,459.57999,764.83002,1943,3400,4200
41,466.5,765.71997,1960,3488.3301,4185
42,489.95001,795.96997,1968.1851,3401.79,4122
43,490.23001,764.34003,1986,3500,4220.6602
44,434.37,741.08002,2000,3500,4335
45,463.67001,736.66998,2000,3641.7,4500
46,433.32999,755.09998,1998,3597,4500
47,507.88,780,1970,3750,4600
48,460.57999,738.40997,1994.405,3500,4486.1802
49,490.67999,780,2000,3774,4700
50,500,800,1980,3554.6799,4536.5898
51,500,815,1970,3600,4833
52,500,774.85999,1965,3552.8401,4677.75
53,500,782,1924.62,3558.05,4615
54,450,743.83002,1925,3500,4500
55,433.32999,722.17999,1905.835,3500,4300
56,404.13498,673.29498,1842.355,3500,4274
57,424.26001,663.57001,1832,3466.6699,4270.8198
58,400,615.57001,1800,3473.3701,4200
59,337.55499,585.20496,1758,3333.3301,4073.1301
60,340,580,1680,3300,4000
61,334.23999,488,1620.47,3278.3201,4000
62,199.33,379.72,1600,3200,3923
63,200,375,1600,3283,4100
64,187.28999,336.26999,1529.5,3300,4178.4102
65,151.64999,303.32999,1354.17,3379.4299,4333.3301
66,104,260,1206,3371.3501,4475.9502
67,101.83,280,1169.79,3645.04,4549.7798
68,134.78999,250,1032.9399,3000,4500
69,84.25,169.39,830.77002,2499.1399,3353.04
70,83.330002,250.94,943.72998,2949.3799,4060.0901
71,92.510002,200,878.07996,2843.8,4162.8501
72,106,170.25,765,2275,2904.4299
73,83.330002,200,570,2047.8101,2566.8201
74,60,100,559,2840.6101,3409.6399
75,72,153.5,552.5,1916.9299,2845.98
