age,wage,sd_wage,_merge
25,7.1427951,9.9477625,matched (3)
26,7.3891277,6.2182255,matched (3)
27,9.4800014,72.195717,matched (3)
28,7.8850956,9.3418484,matched (3)
29,8.0616608,7.045609,matched (3)
30,8.670579,8.5185299,matched (3)
31,9.0905981,7.9072075,matched (3)
32,9.2442675,7.0062251,matched (3)
33,9.6150208,14.070498,matched (3)
34,11.833797,116.38485,matched (3)
35,10.032974,9.6461077,matched (3)
36,9.7724047,8.3088255,matched (3)
37,10.62679,14.574055,matched (3)
38,12.6061,95.588799,matched (3)
39,11.963493,58.078892,matched (3)
40,12.441266,90.606621,matched (3)
41,10.485421,10.640935,matched (3)
42,10.519499,8.2921247,matched (3)
43,12.560513,105.35904,matched (3)
44,10.632491,9.1456499,matched (3)
45,10.897642,16.876764,matched (3)
46,12.539427,84.747559,matched (3)
47,12.219788,66.501434,matched (3)
48,11.074906,18.729858,matched (3)
49,11.401657,37.549988,matched (3)
50,11.466151,40.871155,matched (3)
51,13.988006,139.44342,matched (3)
52,10.520592,10.709515,matched (3)
53,11.71104,75.248634,matched (3)
54,10.389475,25.488028,matched (3)
55,9.6447306,14.748847,matched (3)
56,12.483869,128.41521,matched (3)
57,12.982992,143.74313,matched (3)
58,8.2706156,9.8505363,matched (3)
59,7.6322393,9.698781,matched (3)
60,6.7457495,10.923354,matched (3)
61,6.001997,11.398799,matched (3)
62,6.7470093,51.639038,matched (3)
63,5.8475456,83.631508,matched (3)
64,5.3135433,81.101509,matched (3)
65,3.389863,60.632233,matched (3)
66,1.9390374,7.1338735,matched (3)
67,1.6894641,9.247941,matched (3)
68,1.4064085,11.093863,matched (3)
69,.96881741,6.7113695,matched (3)
70,.83690196,5.758502,matched (3)
71,.61219656,4.6499019,matched (3)
72,.91438049,15.170687,matched (3)
73,.41733542,3.197521,matched (3)
74,.51671714,4.5698996,matched (3)
75,.39058328,3.0789845,matched (3)
