age,correlation
75,.25986314
74,.13409914
73,.15797712
72,.18006487
71,-.12335111
70,-.098795258
69,.014511713
68,-.17549743
67,-.032722369
66,-.0080823395
65,-.068483107
64,.014059756
63,.020953583
62,.017126124
61,.039051253
60,.022753978
59,.086984873
58,.087770462
57,.056134686
56,.086889826
55,.082966492
54,.053436492
53,.075258926
52,.060102891
51,.065906271
50,.032221798
49,.019689271
48,.026132958
47,.052900959
46,.043093905
45,.0413731
44,.050001841
43,.057787467
42,.039647255
41,.042352941
40,.066835195
39,.034314666
38,.062438931
37,.053115737
36,.041506596
35,.066628128
34,.022190627
33,.065063715
32,.08172033
31,.086475477
30,.075752109
29,.086565256
28,.037727464
27,.066400193
26,.093298264
25,.063756585
