age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2P,MH_type_0_G2G,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2P,MH_type_1_G2G
25,.84998,.15001997,.71928829,.28071171,.25882414,.74117589,.20630035,.79369962
26,.87533855,.12466148,.74430329,.25569668,.20420524,.79579479,.20493722,.79506278
27,.78666025,.21333973,.69140756,.30859244,.32104728,.67895269,.18408425,.81591576
28,.86505634,.13494369,.78845423,.21154575,.35254389,.64745611,.18229713,.81770289
29,.82530463,.17469539,.68239385,.31760615,.26788378,.73211622,.22500199,.77499801
30,.78983176,.21016826,.74115908,.25884092,.36811653,.6318835,.21146783,.7885322
31,.81017852,.18982145,.76724935,.23275064,.34922487,.65077513,.19792563,.80207437
32,.83043665,.16956337,.66523743,.3347626,.42796251,.57203752,.21023579,.78976423
33,.81381845,.18618155,.72494549,.27505451,.31254494,.68745506,.15402204,.84597796
34,.84643686,.15356311,.69883496,.30116504,.37369207,.6263079,.19950682,.80049318
35,.83340806,.16659193,.66846681,.33153319,.36478275,.63521725,.20262493,.79737508
36,.85455376,.14544623,.71798241,.28201762,.38004661,.61995339,.1867689,.81323111
37,.83411121,.1658888,.71041673,.2895833,.41553259,.58446741,.19169796,.80830204
38,.81015068,.1898493,.63789487,.3621051,.34202835,.65797162,.20605563,.79394436
39,.82989466,.17010532,.61266601,.38733399,.35289112,.64710885,.18928991,.81071007
40,.8223238,.17767617,.70224714,.29775286,.37690794,.62309206,.17104639,.82895362
41,.82214653,.17785348,.69034171,.30965829,.37025827,.62974173,.16671519,.8332848
42,.80446094,.19553907,.64209712,.35790291,.35683417,.64316583,.17248541,.82751459
43,.82006788,.1799321,.70797437,.29202563,.27219746,.72780252,.16698819,.83301181
44,.81316084,.18683915,.64025325,.35974672,.3867088,.6132912,.17635629,.82364374
45,.80464298,.19535702,.69927555,.30072442,.39665487,.60334516,.18389356,.81610644
46,.82351011,.17648987,.67820323,.32179675,.39032987,.60967016,.17682862,.82317138
47,.7701503,.22984971,.64852899,.35147101,.29229808,.70770192,.17767186,.82232815
48,.82548851,.17451148,.73711824,.26288173,.37320951,.62679052,.18229055,.81770945
49,.79859364,.20140634,.62515175,.37484822,.33312115,.66687882,.165732,.83426803
50,.81742984,.18257014,.71032929,.28967074,.37906063,.62093937,.16905418,.83094585
51,.80439228,.19560772,.63321435,.36678562,.3728655,.6271345,.15864624,.84135377
52,.78466904,.21533099,.63490677,.3650932,.33190876,.66809124,.17548671,.82451326
53,.82679951,.17320049,.69840366,.30159634,.32603663,.67396337,.14690126,.85309875
54,.84713662,.1528634,.71712518,.28287479,.35881725,.64118272,.16083658,.83916342
55,.82695234,.17304769,.67465043,.3253496,.3320891,.66791087,.15969104,.84030896
56,.786201,.21379897,.69908595,.30091405,.38012412,.61987591,.15077594,.84922409
57,.82032454,.17967544,.76664811,.2333519,.34098592,.65901411,.1361609,.86383909
58,.79961497,.20038505,.66004443,.3399556,.30176854,.69823146,.14451206,.85548794
59,.81287277,.1871272,.72264826,.27735177,.36277869,.63722134,.15529671,.84470332
60,.80965048,.19034952,.64278179,.35721824,.30514202,.69485801,.14482418,.85517579
61,.80370545,.19629455,.68991476,.31008524,.34955269,.65044731,.15471219,.8452878
62,.81735605,.18264392,.72529101,.27470899,.36142749,.63857251,.11970507,.88029492
63,.81499684,.18500316,.92027426,.079725742,.33488813,.6651119,.11402945,.88597053
64,.7774924,.22250761,.54148406,.45851594,.34317645,.65682352,.10104836,.89895165
65,.80441779,.19558223,.75790024,.24209978,.25990856,.74009144,.11373971,.88626027
66,.84372532,.15627469,.6703251,.3296749,.42104754,.57895243,.098285787,.90171421
67,.89232302,.107677,.38559857,.6144014,.31246263,.68753737,.081929818,.9180702
68,.77571005,.22428992,.78736156,.21263841,.32874414,.67125589,.10680215,.89319783
69,.83564311,.16435686,.83379012,.16620988,.17608495,.82391506,.085766897,.91423309
70,.63503069,.36496931,1,0,.20626396,.79373604,.13447273,.86552727
71,.82352334,.17647667,.54313058,.45686942,.11950605,.88049394,.12238438,.87761563
72,.76020044,.23979959,.88718319,.11281683,.29447496,.70552504,.1487536,.85124642
73,1,0,,,.22781383,.77218616,.10227431,.8977257
74,1,0,,,.4897806,.5102194,.081931271,.91806871
75,,,,,,,0,1
