age,correlation
75,.28734249
74,.083247133
73,.17513674
72,.18684356
71,-.045032721
70,-.091994949
69,-.1139595
68,-.18177637
67,.01246387
66,-.0031468917
65,-.04235648
64,.017022189
63,.041664463
62,.01395503
61,.033949852
60,.021551132
59,.075538486
58,.070752934
57,.052846286
56,.059626479
55,.046833176
54,.039927356
53,.07628186
52,.053122099
51,.057181854
50,.022732794
49,.030834982
48,.0082731908
47,.068155743
46,.036803387
45,.040538743
44,.063642703
43,.032527305
42,.039777532
41,.039143741
40,.061448086
39,.046533365
38,.053755585
37,.058078889
36,.040880378
35,.055635262
34,.024174981
33,.059290864
32,.054667667
31,.10148494
30,.081958875
29,.1129066
28,.029780108
27,.088093072
26,.092017092
25,.090846807
