age,p5,p10,p50,p90,p95
,,,,,
25,476.67001,633.75,1256.67,2034,2300
26,650,860,2142.7,3800,4550
27,683.58002,910,2690.835,5340,6105
28,693.33002,1013.92,3000,6800,8029
29,640,1000,3300,8083.3301,9700
30,677,996,3459,9362.6602,11175.75
31,745.25,1083.33,3564,10485,12562.9
32,800,1100,4068.3301,11445.96,14161
33,700,1077,4282.2803,12558.32,15872
34,780,1100,4557.5,13166.67,16548
35,800,1100,4739.4902,14140,17591.66
36,724,1100,4782,14812,19004
37,761.84998,1109.1,4830,15497,19818.199
38,809.96002,1170,4900,15820,19245
39,775.65997,1190,4957.6553,15961,19516.34
40,850,1200,4897.6699,16131,20200
41,728.17004,1081.67,4752.9551,16475.58,20397
42,780,1100,4747.5649,16648,21036.66
43,820.72998,1190,4940,16090,21614.211
44,800,1159.28,4886.5,16280,21382.221
45,950,1322.6699,5386.7402,16817,21110.09
46,897,1248,5500,17520.359,22400
47,866.66998,1200,5519,17850,22267
48,850,1212.3301,5492.3799,17600,22348
49,853.66998,1265.3301,5420.5,17636.59,22961.67
50,900,1273,5746.5,17742.285,23559.381
51,908.17004,1246.33,5647.5,17500,22383.34
52,953,1338.53,5884.9697,18069.48,22767
53,933.32996,1330,5950,17897.029,22405.67
54,877,1304.22,5820.875,17850.24,22996.869
55,866.66998,1300,6112,18150,23488
56,918.67004,1343.33,6085.0601,18033.33,22020
57,888.33002,1266.4,6024,18194.27,21776.26
58,920.83002,1325,5996.9697,17967.73,22633
59,800,1203,5685.2402,16654.129,21634.406
60,833.33002,1223,5764,16218.25,21604.67
61,834.75,1179.375,5538.8599,16181.66,20399.635
62,670,1000,5592.665,16367.13,20457
63,650.54999,1031.33,5300,16031.33,20694.42
64,640,950,4800,16369.33,19869
65,515.08002,860,5064,15709.939,21300
66,455,748.42004,4477.5,16279.25,20211.33
67,400.82999,700,3678.71,15099,20684.92
68,514.26001,865.5,3750.5901,12912.67,17900
69,300,477.20999,3314.665,12572,18704.17
70,411.66998,560,3469,10217.3,16961.67
71,450,693.33002,3191.6699,11200.99,18531.67
72,372.67001,758.33002,2906.165,9809.8301,15975.3
73,330,555,2473.25,9095.1797,11662.04
74,260,303.32999,1713.6599,7708.3301,9384
75,424.66998,455,2565.3198,7639.4697,9880
76,320,645.66998,2998.6499,10070.601,11757.33
