age,p5,p10,p50,p90,p95
,,,,,
25,436.09,600,1245,2000,2271
26,428,600,1288.525,2057,2409
27,418.17001,575,1300,2108,2404
28,400,550,1300,2130,2606.78
29,390,520,1364.2949,2300,2796
30,411.67001,576.33002,1400,2400,2800
31,390,580,1450,2522,3000
32,417.82999,600,1460,2600,3100
33,386,540,1450,2700,3300
34,360,540,1450,2750,3360
35,420.62,563.33002,1473.33,2800,3413.8899
36,400,541.66998,1498,2800,3355.24
37,400,563.33002,1500,2900,3560
38,390,550,1500.21,3000,3650
39,346.67001,520,1500,2980,3600
40,373,574.03998,1530,3000,3700
41,401,574.16998,1500,3000,3750
42,400,587,1500,3000,3700
43,379.17001,580,1500,3028.3301,3813
44,345,560,1500,3033.3301,3803.3301
45,410,600,1560,3200,4177.1899
46,400,582.5,1547.5,3151.3899,4000
47,403,585,1500,3150,4000
48,348,572,1500,3070,3813.3301
49,400,590,1500,3141.6699,4010
50,416,590,1500,3100,3877
51,403,620,1500,3087.51,3889
52,368.32999,615,1500,3013,3896
53,402,606.66998,1473.33,3000,3800
54,401,594.755,1467,3030.665,3800
55,381,574,1450,3000,3654
56,351,572,1400,3000,3712.6399
57,342.73001,520,1400,2960,3728
58,306.29001,509.22,1349,2996.97,3772
59,257.59,489,1300,2859.53,3500
60,240,479.82001,1246,2708.3301,3500
61,200,430,1200,2700,3500
62,130,372.26001,1200,2653,3410.8101
63,50,319.57999,1200,2585,3516.1201
64,83.330002,333.32999,1150,2726,3617.54
65,4.3299999,216.67,1029,2882.3899,3869.23
66,0,86.255005,1000,2876.2251,4183.8149
67,0,172.46001,960,3000,4166.6699
68,0,104,875.56995,2336.22,4106
69,0,130,803.88,2000,2700
70,8.4700003,218,817.51501,2528.4299,3614.6101
71,0,86.669998,770,2500,3562.73
72,0,50,651.08496,1720.88,2400.01
73,0,36.559998,619.91504,1962,2565.675
74,0,83.330002,570.93005,1747,2964.2
75,0,42.240002,552.5,1856.59,2845.98
76,0,0,543.70502,2195.3301,3034.01
