age,labor_earnings,sd_labor_earnings,log_labor_earnings,sd_log_labor_earnings
25,1312.8411,525.0733,7.094914,.43129438
26,1379.0402,588.85254,7.138133,.44123381
27,1393.3951,604.07391,7.1411276,.4620361
28,1436.506,648.80829,7.1683116,.4675957
29,1494.7345,738.9035,7.1932263,.49811536
30,1529.5266,763.92993,7.2143106,.50268608
31,1602.8369,790.16815,7.2607675,.50595599
32,1635.5313,824.87396,7.2750144,.51725847
33,1645.9985,875.33093,7.2677875,.54391021
34,1651.7856,872.21216,7.2718148,.54278374
35,1652.1923,881.66016,7.2689114,.54788423
36,1702.1464,904.31512,7.3004208,.54376459
37,1739.2435,934.58844,7.3175478,.55368
38,1752.7368,934.95453,7.3260527,.55434269
39,1748.1904,937.89532,7.3212428,.55941325
40,1799.0902,985.44202,7.3516474,.54996663
41,1760.1802,960.12128,7.3247595,.56232685
42,1759.0918,973.17877,7.3221226,.56336927
43,1775.5231,982.49408,7.3311543,.5652346
44,1775.0848,1002.6597,7.3278379,.5676868
45,1823.723,1021.797,7.358223,.56075561
46,1803.6705,1016.0885,7.3464246,.56231439
47,1792.3074,1053.7922,7.3334618,.5717963
48,1787.4095,1031.2981,7.3361506,.56152838
49,1790.0854,1051.2579,7.3318543,.57234406
50,1787.7382,1033.5659,7.3363862,.56119847
51,1776.8087,1070.238,7.3314357,.55370569
52,1780.7168,1032.0477,7.3370509,.54934263
53,1734.1696,962.88098,7.3149285,.54522699
54,1735.5243,1005.4694,7.3108554,.55001307
55,1719.4841,1017.6895,7.2975302,.55720687
56,1686.6982,983.91608,7.2789898,.55558163
57,1671.3712,988.02472,7.2700047,.55317217
58,1658.0201,975.55475,7.2590771,.55947518
59,1589.8757,935.60675,7.2135634,.56882691
60,1532.1447,891.40094,7.1877055,.54370147
61,1505.8154,931.58356,7.1587725,.56087548
62,1489.5559,933.01892,7.1417594,.57435727
63,1492.705,965.70581,7.1346197,.59265363
64,1449.8307,932.14331,7.1009531,.6024282
65,1392.4847,989.75732,7.030211,.64255661
66,1399.9539,1111.9091,6.9983759,.68820328
67,1313.6506,1061.843,6.9306922,.68704343
68,1193.1913,911.71466,6.8653321,.64193308
69,1049.7963,750.56067,6.7737927,.59091157
70,1031.8553,747.69812,6.7358794,.63036782
71,1025.5895,932.59851,6.6847806,.65847099
72,933.67896,646.55322,6.6616302,.58331853
73,996.47272,697.36389,6.7059536,.63424116
74,962.47687,894.90204,6.6080432,.6951859
75,995.60632,742.30524,6.6846933,.66719937
