age,emp,sd_emp
25,.69519836,.46048364
26,.70247352,.45733172
27,.70055711,.45817357
28,.69933772,.45869794
29,.71260816,.4526858
30,.71686405,.45064899
31,.74402034,.43652153
32,.7391094,.43922669
33,.73395783,.44199008
34,.74219811,.43752334
35,.74380165,.43662763
36,.74379468,.4366284
37,.75383979,.43086243
38,.75746715,.42870021
39,.7715283,.41992947
40,.77720398,.4161993
41,.78563619,.41045511
42,.79209316,.4058814
43,.79544657,.40344557
44,.7984947,.4011932
45,.79838711,.40127203
46,.7995972,.40036899
47,.80284959,.3979128
48,.80692905,.39477462
49,.79722589,.40213203
50,.80026722,.39986625
51,.79240161,.4056564
52,.77980077,.41445211
53,.76068377,.42673907
54,.75008774,.43303803
55,.71313483,.45237729
56,.69583929,.46013358
57,.66246849,.47295293
58,.61922097,.48566678
59,.57815921,.49394357
60,.5016911,.50009114
61,.43136516,.49536002
62,.37114143,.48319691
63,.29415831,.45574224
64,.24281366,.4288559
65,.14549112,.35265443
66,.093957506,.29181802
67,.081444994,.27356222
68,.060717881,.23885216
69,.042842571,.20253649
70,.034855351,.18344532
71,.02730866,.16301057
72,.028291211,.16583483
73,.017699115,.13188197
74,.019288469,.13756648
75,.014012144,.11756811
