age,job_hours_decimal,sd_job_hours_decimal,log_hours,sd_log_hours
25,.34814614,.084520236,3.5094917,.31145421
26,.34949797,.082439557,3.5161157,.29972917
27,.34769285,.084564708,3.5096436,.30347344
28,.34594697,.085058846,3.5040011,.30535254
29,.34409714,.089750633,3.4942839,.32039779
30,.342834,.089413159,3.4901686,.32288045
31,.34562176,.090293072,3.4985292,.32190135
32,.34132546,.08886797,3.4857278,.32294494
33,.33570197,.092893198,3.4642596,.33844447
34,.33757222,.097523317,3.46842,.33991006
35,.32991931,.096593536,3.4429951,.34902406
36,.33288065,.096004926,3.4560091,.33237651
37,.33361232,.093335479,3.4589999,.33211383
38,.33508044,.093974747,3.4638724,.32946643
39,.33404174,.091994271,3.459614,.33791399
40,.33848029,.090249136,3.4783909,.31406605
41,.33728862,.093670323,3.4712305,.32754478
42,.33379412,.095095143,3.4590473,.33310392
43,.33453238,.094545946,3.4612067,.33450696
44,.33681706,.092098787,3.4721019,.31840977
45,.34125927,.091968693,3.486171,.31598568
46,.33963853,.091200478,3.4809451,.31877798
47,.33913082,.090492897,3.4798326,.31753096
48,.34076408,.090396613,3.4846139,.31827396
49,.34175602,.09211342,3.4855976,.32665661
50,.34105092,.088097751,3.4862483,.31790292
51,.34109804,.088135093,3.4873414,.31288159
52,.34240615,.090086967,3.4902945,.31586671
53,.33976045,.0896919,3.4806421,.32454339
54,.33855778,.089028426,3.4783173,.31817532
55,.33744353,.091912657,3.4724798,.32625124
56,.33425876,.095754661,3.4589908,.33950275
57,.33159587,.096400186,3.4483166,.34932789
58,.3290247,.094800472,3.4419248,.3439689
59,.32409033,.097109206,3.4229598,.35573941
60,.32195207,.099797443,3.4135044,.36328545
61,.31846732,.099927023,3.4001548,.37168255
62,.31588104,.1028365,3.3881261,.38266459
63,.31327733,.10213762,3.3805563,.37897
64,.30537188,.10540533,3.3450401,.40972975
65,.28969124,.11186734,3.2828867,.42443049
66,.27504241,.11111762,3.2286804,.42493862
67,.27336693,.11560725,3.2174292,.43527719
68,.25365195,.10659964,3.1457751,.42465818
69,.25595239,.12229589,3.1408942,.45027298
70,.24002001,.1131261,3.0703321,.4696649
71,.24871053,.13890944,3.0882375,.49233404
72,.24113333,.12788449,3.0553775,.50368881
73,.26511365,.13745396,3.151474,.50926507
74,.24144444,.12179352,3.0669272,.48991829
75,.24016666,.11594799,3.0698774,.47812557
