age,mean_earnings_MH0_age,mean_earnings_MH1_age,_merge
25,1276.2617,1340.1591,matched (3)
26,1323.8328,1421.119,matched (3)
27,1356.5874,1428.4081,matched (3)
28,1411.3434,1455.994,matched (3)
29,1441.2373,1540.0942,matched (3)
30,1445.3884,1592.1869,matched (3)
31,1507.4597,1678.7814,matched (3)
32,1559.7384,1698.3315,matched (3)
33,1577.7233,1706.9218,matched (3)
34,1639.4946,1679.2789,matched (3)
35,1600.6914,1711.5612,matched (3)
36,1659.8782,1748.4991,matched (3)
37,1692.8389,1807.5282,matched (3)
38,1709.36,1812.0382,matched (3)
39,1724.6923,1785.0421,matched (3)
40,1720.0012,1846.0321,matched (3)
41,1715.8995,1803.5439,matched (3)
42,1709.8491,1806.4608,matched (3)
43,1719.6851,1832.9426,matched (3)
44,1735.8246,1815.3829,matched (3)
45,1764.4633,1870.9186,matched (3)
46,1755.767,1846.3184,matched (3)
47,1752.4244,1833.9451,matched (3)
48,1750.9409,1828.7045,matched (3)
49,1755.506,1825.1272,matched (3)
50,1759.7283,1818.7119,matched (3)
51,1685.2396,1865.0366,matched (3)
52,1710.2987,1851.6166,matched (3)
53,1651.4717,1803.8772,matched (3)
54,1673.5693,1792.5336,matched (3)
55,1640.2347,1789.6143,matched (3)
56,1613.3595,1756.6689,matched (3)
57,1597.8065,1735.0688,matched (3)
58,1533.8759,1724.1505,matched (3)
59,1458.3521,1662.8318,matched (3)
60,1493.627,1554.3851,matched (3)
61,1473.6934,1533.6946,matched (3)
62,1454.7618,1522.2886,matched (3)
63,1427.1337,1523.8542,matched (3)
64,1410.9625,1491.7051,matched (3)
65,1506.1558,1360.1829,matched (3)
66,1369.8021,1406.8209,matched (3)
67,1412.2933,1294.8657,matched (3)
68,1538.4049,1151.1555,matched (3)
69,998.90771,1047.3147,matched (3)
70,1195.5067,973.68097,matched (3)
71,1557.1956,989.71484,matched (3)
72,670.72144,998.78937,matched (3)
73,844.61127,1009.5239,matched (3)
74,694.19287,1000.8233,matched (3)
75,573.33331,1008.1445,matched (3)
76,640.73248,919.4707,matched (3)
