age,mean_earnings_MHT0_age,mean_earnings_MHT1_age,_merge
25,1280.9257,1331.5343,matched (3)
26,1321.0902,1415.0581,matched (3)
27,1315.9979,1436.7136,matched (3)
28,1360.3901,1474.564,matched (3)
29,1371.4683,1556.2876,matched (3)
30,1406.2784,1588.8524,matched (3)
31,1465.0703,1670.177,matched (3)
32,1523.6666,1687.4417,matched (3)
33,1508.6421,1708.4912,matched (3)
34,1538.8915,1700.6899,matched (3)
35,1550.0146,1698.3369,matched (3)
36,1587.2979,1750.5229,matched (3)
37,1653.8225,1776.4507,matched (3)
38,1670.671,1788.5632,matched (3)
39,1692.2463,1771.9547,matched (3)
40,1712.9637,1834.8365,matched (3)
41,1666.281,1797.4235,matched (3)
42,1630.1604,1810.7609,matched (3)
43,1663.863,1820.5874,matched (3)
44,1631.0568,1832.2306,matched (3)
45,1702.8181,1870.5182,matched (3)
46,1699.0955,1844.342,matched (3)
47,1677.1804,1833.5439,matched (3)
48,1703.7891,1817.3179,matched (3)
49,1729.828,1811.5939,matched (3)
50,1668.9392,1831.2209,matched (3)
51,1657.5947,1819.222,matched (3)
52,1645.6812,1828.2487,matched (3)
53,1603.126,1780.8054,matched (3)
54,1561.1245,1795.6697,matched (3)
55,1534.1067,1782.906,matched (3)
56,1478.3673,1758.0642,matched (3)
57,1501.1376,1722.9353,matched (3)
58,1469.3613,1711.9227,matched (3)
59,1430.6219,1631.8181,matched (3)
60,1402.1521,1563.2849,matched (3)
61,1394.6997,1530.8639,matched (3)
62,1356.4229,1517.9951,matched (3)
63,1320.6414,1526.0076,matched (3)
64,1314.7217,1473.2319,matched (3)
65,1395.0463,1392.0253,matched (3)
66,1464.0856,1390.0068,matched (3)
67,1291.2179,1316.6212,matched (3)
68,1361.7368,1173.4236,matched (3)
69,1049.554,1049.829,matched (3)
70,1015.4407,1034.5275,matched (3)
71,810.85712,1047.3739,matched (3)
72,745.58331,950.0351,matched (3)
73,620.97253,1034.0227,matched (3)
74,340,976.62408,matched (3)
75,,995.60632,using only (2)
76,,906.61133,using only (2)
