age,var_log_lab_inc,var_log_cum_lab_inc,_merge
25,.29577768,.30683717,matched (3)
26,.32912752,.49330711,matched (3)
27,.30050325,.66776705,matched (3)
28,.32463273,.62706906,matched (3)
29,.40643588,.78854942,matched (3)
30,.36700162,.79039329,matched (3)
31,.43481147,.83472347,matched (3)
32,.39538559,.85880458,matched (3)
33,.43973655,.95171165,matched (3)
34,.47059116,1.0320506,matched (3)
35,.41190991,1.0446501,matched (3)
36,.45947465,1.0876878,matched (3)
37,.42872056,1.072673,matched (3)
38,.51242596,1.0506161,matched (3)
39,.51664013,1.2798601,matched (3)
40,.46983862,1.1027071,matched (3)
41,.45866686,1.1802596,matched (3)
42,.50632793,1.0866696,matched (3)
43,.48849669,1.0839707,matched (3)
44,.55382079,1.1500105,matched (3)
45,.51662487,1.0585501,matched (3)
46,.49278805,1.1122911,matched (3)
47,.49086547,1.1086849,matched (3)
48,.4819333,1.1460885,matched (3)
49,.46995622,1.0935068,matched (3)
50,.43247598,1.1465206,matched (3)
51,.52535349,1.1438131,matched (3)
52,.47595876,1.0955846,matched (3)
53,.43319237,1.0639071,matched (3)
54,.49938533,1.1975591,matched (3)
55,.55281079,1.2059824,matched (3)
56,.52721786,1.1256517,matched (3)
57,.51068133,1.0917636,matched (3)
58,.49031496,1.0834155,matched (3)
59,.52227342,1.1783553,matched (3)
60,.56503129,1.0867103,matched (3)
61,.54195547,1.2044518,matched (3)
62,.62610108,1.2853154,matched (3)
63,.66677094,1.3060454,matched (3)
64,.73860806,1.2940603,matched (3)
65,.77256316,1.5205054,matched (3)
66,1.0368075,1.40337,matched (3)
67,.97554088,1.4747599,matched (3)
68,.84191203,1.2722104,matched (3)
69,.96586853,2.0029445,matched (3)
70,1.115932,1.5978879,matched (3)
71,.9639169,1.7472104,matched (3)
72,.7425915,1.3816664,matched (3)
73,1.202029,1.9142948,matched (3)
74,1.4638422,1.8450737,matched (3)
75,1.0871583,1.5784532,matched (3)
76,1.2272716,,master only (1)
