age,wage,sd_wage,log_wage,sd_log_wage
25,9.4583902,3.2021863,2.1991282,.29937899
26,9.9075832,4.3842568,2.2357233,.31567395
27,9.9562073,3.5888729,2.2451894,.31601253
28,10.313746,3.8713961,2.2780159,.32068977
29,10.757249,4.288693,2.3126483,.34225944
30,11.067928,4.6480269,2.3378479,.34901503
31,11.543041,4.906918,2.3759441,.36209762
32,11.919686,5.4601717,2.4029922,.37310052
33,12.102449,5.214664,2.4172335,.37931013
34,12.067848,4.9279017,2.4171007,.37701163
35,12.490181,6.1671681,2.4396222,.39664418
36,12.710752,6.393867,2.458117,.39601535
37,12.918223,5.9293346,2.4722533,.40516493
38,12.920827,5.6153131,2.4758859,.40146726
39,12.953446,5.9854369,2.4753344,.40329576
40,13.164371,6.1142378,2.4869621,.41567126
41,12.885563,5.8153639,2.4672346,.41388944
42,13.080912,6.3541493,2.4767809,.42134395
43,13.175982,6.3623977,2.4836533,.42303208
44,13.023688,6.4922667,2.4694414,.42709273
45,13.253042,6.7407207,2.4857574,.42745253
46,13.100438,6.1581898,2.4791851,.42179725
47,12.997226,6.3847122,2.4673345,.42729965
48,12.949231,6.3351049,2.4652426,.42324629
49,12.951582,6.5216351,2.4599626,.43397105
50,12.980256,6.4694023,2.4638438,.43137011
51,12.937883,7.0569372,2.4577997,.42938426
52,12.982006,6.848372,2.4604619,.43345135
53,12.766605,6.7432294,2.4479918,.42358112
54,12.753769,6.7860804,2.4462438,.42582667
55,12.680484,6.7208104,2.4387558,.42841509
56,12.615454,6.6492534,2.4337044,.42796129
57,12.727098,7.4281797,2.4353938,.4357059
58,12.638037,7.150806,2.4308579,.43317297
59,12.271272,6.8832531,2.4043093,.42657191
60,12.002392,6.5863252,2.3879068,.41282764
61,11.844919,6.4688163,2.3723233,.41705111
62,11.926448,8.0457029,2.3673389,.43027264
63,11.992449,7.2605739,2.367769,.44722018
64,12.007178,8.0500145,2.3696187,.43944445
65,12.037656,7.3714576,2.3610301,.46940795
66,12.622848,9.1862526,2.3834014,.49973947
67,11.84133,8.2251034,2.3269687,.49090767
68,11.785007,8.4064598,2.3332629,.46113494
69,10.34794,5.1950712,2.2466044,.40079454
70,11.302659,8.8534174,2.279253,.47465369
71,9.8873806,4.6962152,2.2102487,.37983131
72,10.026207,5.1034904,2.2199583,.382817
73,9.2856579,3.4483645,2.1681852,.34313071
74,9.5835619,5.7465925,2.1548214,.42032936
75,9.9297686,3.9598901,2.2285221,.36300224
