age,job_hours_decimal
25,.34374931
26,.34455127
27,.34299549
28,.34085533
29,.33885372
30,.33469978
31,.33920899
32,.33553916
33,.3304337
34,.33319798
35,.32430822
36,.32652906
37,.32621044
38,.3292098
39,.32883894
40,.33122581
41,.33281228
42,.3298862
43,.32900697
44,.33273637
45,.33748016
46,.33445072
47,.33419684
48,.33533731
49,.33522853
50,.33483297
51,.33410287
52,.33781198
53,.3341673
54,.33327627
55,.33120841
56,.32873377
57,.32396719
58,.32204878
59,.31556645
60,.31329688
61,.30332962
62,.30096436
63,.29476887
64,.28416631
65,.27239409
66,.24571219
67,.24852853
68,.22601527
69,.21030769
70,.20349324
71,.21492982
72,.19696261
73,.21071428
74,.19637144
75,.18482758
