age,emp,sd_emp,_merge
25,.97884011,.14397353,matched (3)
26,.9828496,.1298745,matched (3)
27,.97979182,.14075498,matched (3)
28,.97541898,.15488765,matched (3)
29,.96489418,.18409485,matched (3)
30,.96308565,.18859614,matched (3)
31,.9639402,.18648,matched (3)
32,.96496409,.18390934,matched (3)
33,.97070628,.16866247,matched (3)
34,.96367943,.18712351,matched (3)
35,.95969582,.1967091,matched (3)
36,.96929336,.17255358,matched (3)
37,.97362715,.16027035,matched (3)
38,.97821504,.14600639,matched (3)
39,.98158443,.134472,matched (3)
40,.9813543,.13529249,matched (3)
41,.99230254,.087411456,matched (3)
42,.99114174,.093715958,matched (3)
43,.99247384,.086440615,matched (3)
44,.9936102,.079693012,matched (3)
45,.99458772,.073380589,matched (3)
46,.99499685,.070566654,matched (3)
47,.9932757,.08173877,matched (3)
48,.99611145,.062246796,matched (3)
49,.99243921,.086637847,matched (3)
50,.99478149,.072062381,matched (3)
51,.99343467,.080774121,matched (3)
52,.99648011,.059234556,matched (3)
53,.99558663,.06629876,matched (3)
54,.99529964,.068411201,matched (3)
55,.99291074,.08391615,matched (3)
56,.99638665,.060016163,matched (3)
57,.99245852,.086535364,matched (3)
58,.99121445,.093342632,matched (3)
59,.99219686,.088016376,matched (3)
60,.98382354,.12620024,matched (3)
61,.99137187,.092526048,matched (3)
62,.99387127,.078085661,matched (3)
63,.985843,.11821412,matched (3)
64,.98459166,.12326523,matched (3)
65,.97468352,.15728369,matched (3)
66,.96799999,.17635305,matched (3)
67,.98369563,.12698881,matched (3)
68,.97014928,.17081399,matched (3)
69,.96842104,.17580402,matched (3)
70,.91935486,.2745122,matched (3)
71,.91836733,.27664167,matched (3)
72,.97500002,.15811388,matched (3)
73,1,0,matched (3)
74,.86666667,.35186577,matched (3)
75,.94736844,.22941573,matched (3)
