age,job_hours_decimal
25,.35886443
26,.36165765
27,.35978016
28,.35901091
29,.36043546
30,.3555949
31,.3548806
32,.35580984
33,.35224658
34,.35172504
35,.34894866
36,.34791344
37,.34938422
38,.34909365
39,.34818938
40,.3481935
41,.34949163
42,.34980923
43,.35008526
44,.35075128
45,.35203359
46,.3519581
47,.35201842
48,.35358375
49,.35362098
50,.35192856
51,.35246199
52,.3532677
53,.35268664
54,.35374326
55,.35005295
56,.34789836
57,.34697536
58,.34644911
59,.34487966
60,.34083602
61,.33974719
62,.33648008
63,.33459201
64,.33092913
65,.32703164
66,.31862
67,.31478262
68,.311903
69,.3038421
70,.30483872
71,.27085716
72,.27742499
73,.27076924
74,.28066668
75,.27552631
