age,correlation
76,.16222788
75,.22493906
74,.12558442
73,.092049561
72,.19372782
71,-.18833065
70,-.12788485
69,.026694695
68,-.15879276
67,-.04055126
66,.020627227
65,-.069210619
64,.030975746
63,.045774993
62,.033551604
61,.030969417
60,.031585369
59,.10349889
58,.09377823
57,.065104023
56,.071447715
55,.070042923
54,.058822684
53,.075441912
52,.064011775
51,.07681635
50,.026291076
49,.026487233
48,.036986429
47,.039057024
46,.044562802
45,.054000393
44,.036015641
43,.055001922
42,.046259064
41,.047856215
40,.066526294
39,.033293206
38,.049727239
37,.058386162
36,.048953537
35,.062407583
34,.023118295
33,.070246682
32,.084359862
31,.1070917
30,.093141161
29,.063470647
28,.034431703
27,.063344479
26,.082426466
25,.067281395
