age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2P,MH_type_0_G2G,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2P,MH_type_1_G2G
25,.79618001,.20381999,.65454221,.34545779,.14991233,.85008764,.10871035,.89128965
26,.8201853,.1798147,.66544384,.33455616,.096104622,.90389538,.1583036,.84169638
27,.74656433,.25343567,.62854594,.37145409,.25394094,.74605906,.13855222,.86144781
28,.7901935,.20980653,.7067163,.29328367,.2316591,.76834089,.14408635,.85591364
29,.80406296,.19593705,.60303754,.39696249,.15564719,.84435278,.14682105,.85317898
30,.79472047,.2052795,.57708442,.42291555,.2604489,.73955107,.15641136,.84358865
31,.76572245,.23427753,.60749573,.39250427,.19870071,.80129927,.15859631,.84140372
32,.79595083,.20404916,.62354946,.37645054,.3198061,.6801939,.16593398,.83406603
33,.76852727,.23147273,.65270239,.34729758,.21675649,.78324348,.12286645,.87713355
34,.79858947,.20141052,.65755886,.34244117,.25544289,.74455708,.14859207,.85140795
35,.77906775,.22093226,.60939342,.39060658,.28884083,.71115917,.15137026,.84862977
36,.80854332,.19145668,.65637207,.34362796,.30844137,.69155866,.12988932,.87011069
37,.80217761,.19782238,.60004199,.39995804,.25324097,.746759,.15073897,.84926105
38,.78865534,.21134467,.592179,.407821,.23962615,.76037383,.13870233,.86129767
39,.79787302,.20212696,.55227536,.44772461,.27156731,.72843271,.12868796,.87131202
40,.7904281,.2095719,.5518977,.44810227,.29072243,.70927757,.114494,.88550597
41,.78358644,.21641357,.53148848,.46851152,.30150098,.69849902,.12143461,.87856537
42,.77449363,.22550638,.54796416,.45203587,.21597449,.78402549,.10270743,.89729255
43,.77005905,.22994094,.56639796,.43360201,.16511966,.83488035,.091587581,.9084124
44,.76120555,.23879448,.55603993,.44396004,.20390311,.79609686,.12245092,.87754905
45,.78126299,.21873699,.56441766,.43558237,.25320807,.74679196,.12372711,.87627292
46,.78163379,.21836624,.49776739,.50223261,.33120847,.66879153,.13288854,.86711144
47,.73272246,.26727754,.56985182,.43014815,.20422755,.79577243,.12559441,.87440562
48,.78927171,.21072827,.57421619,.42578381,.21008588,.78991413,.11772636,.88227361
49,.76877439,.23122559,.53704762,.46295238,.21720555,.78279448,.10835444,.89164555
50,.77382183,.22617818,.5832988,.41670123,.24876109,.75123894,.099269174,.90073085
51,.80592293,.1940771,.5244047,.47559533,.2176775,.78232253,.10208952,.89791048
52,.76279914,.23720086,.54542518,.45457482,.22835557,.77164441,.13399054,.86600947
53,.79816467,.2018353,.53751749,.46248248,.24073538,.75926459,.098305643,.90169436
54,.80578619,.19421382,.53799939,.46200061,.23086067,.76913935,.11108618,.88891381
55,.78327793,.21672207,.51251537,.48748466,.27649954,.72350043,.10981114,.89018887
56,.76785254,.23214747,.5457055,.4542945,.23105262,.76894736,.10077725,.89922273
57,.77604151,.22395848,.53012323,.46987677,.27761683,.72238314,.07223101,.92776901
58,.73333812,.26666191,.49575537,.50424463,.1722969,.82770312,.074693859,.92530614
59,.75689352,.24310648,.49902523,.50097477,.21596274,.78403729,.083211049,.91678894
60,.73465723,.26534277,.38589323,.61410677,.24526611,.75473392,.085315652,.91468436
61,.73268032,.26731968,.38047624,.61952376,.17472088,.82527912,.077939548,.92206043
62,.71660483,.2833952,.38222545,.61777455,.22385174,.77614826,.056229271,.94377071
63,.73435998,.26564002,.3989329,.60106713,.09561228,.90438771,.053709053,.94629097
64,.68170726,.31829277,.35882729,.64117271,.22789857,.7721014,.048677929,.95132208
65,.67241246,.32758754,.37810162,.62189841,.04593613,.95406389,.042218439,.95778155
66,.6846016,.3153984,.33743751,.66256249,.16588065,.83411938,.058650855,.94134915
67,.66015214,.33984783,.31514114,.68485886,.17244425,.82755572,.057124764,.94287527
68,.62976545,.37023455,.31442448,.68557549,.10951032,.8904897,.054027233,.94597274
69,.67544293,.32455704,.35135141,.64864862,.14041921,.85958076,.073165543,.92683446
70,.64787853,.35212147,.31487611,.68512386,.16676891,.83323109,.060988095,.93901193
71,.66666859,.33333141,.32449785,.67550212,.15323175,.84676826,.071738474,.92826152
72,.61525053,.38474947,.36426765,.63573235,.22545202,.77454799,.07082399,.92917603
73,.61514366,.38485631,.37211946,.62788051,.21141455,.78858548,.064925797,.93507421
74,.61466378,.38533619,.3381868,.6618132,.19061708,.80938292,.049776476,.95022351
75,.63689631,.36310366,.35551271,.64448732,.19108579,.80891418,.07393866,.92606133
