age,MH_P2P,MH_P2G,MH_G2P,MH_G2G
25,.72621125,.27378872,.26442668,.73557329
26,.72240686,.27759311,.29794729,.70205271
27,.67725646,.32274356,.27392831,.72607166
28,.70398605,.29601395,.30384332,.69615668
29,.70213825,.29786175,.27325076,.72674924
30,.72107238,.27892762,.26819745,.73180258
31,.67628318,.32371679,.29095754,.70904243
32,.72265375,.27734622,.29040653,.70959347
33,.67496461,.32503536,.25829113,.74170887
34,.71270859,.28729141,.27340358,.72659642
35,.70076603,.29923397,.26014623,.7398538
36,.72764879,.27235121,.27031267,.72968733
37,.71625149,.28374851,.26367173,.7363283
38,.70396262,.29603735,.26341748,.73658252
39,.71581954,.28418046,.24535468,.75464535
40,.71635431,.28364572,.23358637,.76641363
41,.71262634,.28737363,.23047541,.76952457
42,.68827039,.31172958,.2289789,.77102107
43,.68414551,.31585449,.21766569,.78233433
44,.69796097,.30203903,.22820601,.77179396
45,.70116168,.29883832,.24212562,.75787437
46,.70581132,.29418868,.22642449,.77357548
47,.64339387,.35660613,.24671307,.7532869
48,.6973446,.3026554,.24471211,.75528789
49,.68496656,.31503344,.21623358,.78376639
50,.70012945,.29987055,.22873656,.77126342
51,.72045976,.27954024,.20843904,.79156095
52,.69280636,.30719364,.23464455,.76535547
53,.70484632,.29515368,.21546873,.78453124
54,.72401905,.27598098,.22291665,.77708334
55,.72137821,.27862179,.21559316,.78440684
56,.69667733,.30332267,.21808644,.78191358
57,.71137357,.28862643,.19575821,.80424178
58,.66823643,.3317636,.1870095,.81299049
59,.70103103,.29896894,.19953422,.80046576
60,.68130422,.31869575,.17533126,.82466877
61,.67095041,.32904956,.17276804,.82723194
62,.66302055,.33697942,.15922228,.8407777
63,.67176008,.32823992,.16424637,.83575362
64,.63868767,.36131233,.14730345,.85269654
65,.6068058,.3931942,.15269428,.84730572
66,.64455134,.35544866,.15139234,.84860766
67,.605869,.394131,.14705274,.85294729
68,.56831884,.43168113,.14742427,.85257572
69,.62203294,.37796706,.17369984,.82630014
70,.59544951,.40455046,.14951161,.85048836
71,.61106592,.38893408,.16375017,.83624983
72,.56504226,.43495774,.17855968,.82144034
73,.56750518,.43249479,.17899814,.82100189
74,.55920291,.44079706,.1520984,.84790158
75,.59365737,.40634263,.1791594,.8208406
