wage,log_wage,job_hours,log_hours,labor_earnings,log_labor_earnings,mental_health,physical_health,MH,PH
1,1,1,1,1,1,1,1,1,1
.78675967,.84259439,.8436352,.85764474,.89950484,.91697001,.60294241,.76894069,.4653776,.54777265
.76414645,.81625247,.7872684,.79642916,.87483132,.88596076,.56930768,.7368806,.43145502,.51995212
.71846712,.79285705,.73900354,.74142742,.8517912,.86025226,.54171604,.70957065,.41038588,.49801221
.70800889,.7702018,.69529593,.69518822,.83287078,.83375716,.51903772,.68793976,.39279416,.47887534
.68638015,.75074661,.65909302,.64977807,.81505519,.80955231,.50015801,.66836238,.37502611,.45916799
.69980305,.7364639,.62603384,.61013299,.79420292,.78812683,.48906255,.65651691,.37263379,.44814277
.68417895,.71645057,.5896908,.57173264,.77114171,.76080215,.48281357,.64316136,.35554805,.43381995
.6641475,.70016569,.56472766,.54311579,.75350833,.74087369,.46494696,.63088578,.34910858,.42474052
.62809104,.66858608,.52418333,.50322616,.72947925,.71006513,.44014287,.619766,.3306056,.42118213
.61994267,.6665585,.50015444,.47772184,.7216621,.69781524,.42355284,.61054212,.32185218,.41261581
