age,correlation
76,.25602055
75,.31551519
74,.072303891
73,.15278256
72,.16141835
71,-.10209513
70,-.16344409
69,-.1432047
68,-.14601851
67,-.030239303
66,-.0092992466
65,-.047399011
64,.033140086
63,.057402425
62,.034812145
61,.027626092
60,.045302387
59,.084425136
58,.079263583
57,.060158629
56,.053441346
55,.041149348
54,.046385344
53,.076935679
52,.062483545
51,.06435889
50,.015392099
49,.041915122
48,.022473186
47,.045864642
46,.038905662
45,.048987664
44,.057739574
43,.030234616
42,.040668238
41,.050422892
40,.064669348
39,.04071711
38,.039414782
37,.061522625
36,.047463469
35,.04381403
34,.019152403
33,.063864022
32,.061584584
31,.11014076
30,.10331064
29,.085972339
28,.033463489
27,.093585774
26,.081554092
25,.085748918
