age,p5,p10,p25,p50,p75,p90,p95
,,,,,,,
25,489.67001,647.91998,1000,1250,1600,2000,2236
26,520,700,1000,1300,1680,2078.72,2491.6699
27,500,666.98999,1000,1319.335,1733.33,2103,2400
28,492,693.33002,1005,1369.33,1765.83,2145,2600
29,487.5,650,1018.33,1400,1840,2300,2706
30,520,689,1030,1429.8301,1900,2400,2800
31,540,706.33002,1100,1500,1990,2534,2971
32,540,703,1100,1516.67,2053,2600,3074.49
33,513,679.90002,1060,1500,2056,2735,3235
34,511.32999,693.33002,1053,1500,2095,2781,3300
35,524,671.66998,1030,1503.415,2094,2800,3300
36,541.66998,700,1050,1600,2200,2837,3339
37,550.33002,703,1089,1600,2229,2900,3500
38,533,725,1083.33,1600,2264,2916.6699,3480.28
39,540,704.16998,1100,1600,2248.6399,2946.6699,3489
40,580,758.33002,1100,1600,2287,3000,3656
41,550,719,1080,1600,2275,3000,3683.3301
42,566,736.66998,1050,1600,2295,3000,3600
43,564.91504,725.5,1083.33,1600,2300,3000,3707.24
44,570,731,1060,1600,2260,3037,3745
45,600,758.33002,1100,1625,2300,3100,3800
46,563.33002,750,1087.66,1600,2300,3098.3301,3800
47,563.33002,736.66998,1067,1600,2258,3100,3900
48,595.83002,738,1090,1600,2300,3034.3301,3750
49,560,728,1080,1597,2220,3100,4000
50,582,754,1076.74,1593,2251.5901,3090,3800
51,600,751,1100,1556.005,2200,3041.6699,3728.8301
52,609,774.85999,1100,1593.655,2238.165,3006.8799,3700
53,600,750,1083.33,1516.67,2200,2930,3638.3701
54,595.83002,745,1061.67,1539.22,2200,3000,3700
55,585,740,1029.17,1500,2179,3000,3600
56,581.5,746,1026.8149,1494,2125.26,2992,3559.655
57,547.08002,706,1000,1450,2100,2928,3560
58,550,700,996.53503,1408.0249,2100,2900,3541.6699
59,504.82999,650,940,1386.67,2000,2845,3400
60,520,660.83002,927.20496,1300,1925.79,2675.1299,3300
61,500,635,915,1300,1814,2646.3201,3333.3301
62,481,603.33496,900,1298,1860.665,2600,3250
63,450,590,900,1300,1800,2600,3400
64,433.32999,541.935,849.33002,1250,1809.67,2617.0801,3300
65,392,480,720,1191.67,1750,2640,3285.6899
66,400,450.67001,650,1100,1716,2708.3301,3960
67,378,433.32999,617.5,1000,1620,2581.4951,3800
68,361.82999,437,600,972,1424.83,2300,3200
69,327,390,590.41998,850,1205.53,1900,2500
70,306,360,510,850,1213.33,1804.85,2700
71,300,355.32999,500,770,1172,2499.23,3283.5
72,300,340,520,790,1150,1583.33,2275
73,290,301,555,817.5,1200,1796.9301,2110.3301
74,260,303.32999,411.67001,703.5,1255,1600,1927.72
75,245,346.67001,475.76001,684.66998,1300,1665.3,1777.67
76,267.57999,430,488.33502,765,1172.5,1351.37,1668.33
