age,labor_earnings,sd_labor_earnings,log_labor_earnings,sd_log_labor_earnings
25,1312.0885,525.47589,7.0939393,.43261987
26,1376.902,585.04138,7.1375656,.43864328
27,1395.1932,600.08752,7.1438799,.4587017
28,1437.036,646.83966,7.168911,.46748295
29,1499.6691,754.935,7.1955199,.49867094
30,1532.6003,761.40314,7.2173471,.50052398
31,1606.6138,788.86011,7.2633843,.50544637
32,1642.5883,826.45447,7.2793212,.51751506
33,1651.9843,873.25336,7.2718592,.54385203
34,1662.9667,885.89569,7.2770152,.54531962
35,1664.7097,886.65601,7.2777481,.54499668
36,1713.5399,902.23352,7.3088017,.5408867
37,1760.3068,939.1629,7.3310971,.55143344
38,1769.7318,955.11664,7.3345499,.5553605
39,1760.5266,940.05255,7.3297653,.55634832
40,1798.7427,966.78894,7.3541718,.54570121
41,1770.0045,967.38721,7.331965,.55795717
42,1769.4609,973.3609,7.3302255,.5590021
43,1788.6149,983.12543,7.3404999,.56143433
44,1785.3333,999.36273,7.3360701,.56324124
45,1825.8455,1012.1133,7.3621454,.55578858
46,1810.9474,1019.1272,7.3508024,.561755
47,1802.8969,1054.7124,7.3408132,.56928349
48,1801.4163,1035.2247,7.3452148,.55895126
49,1799.0612,1048.5333,7.3388405,.56880343
50,1795.1344,1037.6611,7.340301,.56155777
51,1797.1777,1085.9849,7.34166,.55523008
52,1796.6406,1038.3702,7.3457251,.55022556
53,1749.08,970.54749,7.3237438,.54463142
54,1749.8567,1003.5481,7.321219,.54629111
55,1735.3356,1016.8345,7.308847,.5533762
56,1705.4235,984.75922,7.2922425,.55188268
57,1686.2402,999.65546,7.2785096,.55338067
58,1658.4894,968.18793,7.2611532,.55676597
59,1596.45,936.43317,7.2181783,.56825662
60,1535.6503,891.21375,7.1906209,.54202217
61,1517.3799,929.96088,7.1680889,.5586924
62,1501.7908,932.46106,7.1512423,.57293546
63,1496.8796,964.01984,7.1384363,.59109086
64,1472.5121,937.56531,7.1178832,.60117406
65,1390.5243,956.84393,7.0385938,.6301499
66,1396.5417,1084.9261,7.0040035,.67830491
67,1318.3735,1043.165,6.9422073,.67751473
68,1222.4156,997.53461,6.8800569,.64771032
69,1035.3921,741.82227,6.7584291,.59233379
70,1016.9299,745.42401,6.7145634,.63961834
71,1054.3645,963.47284,6.7005892,.67581028
72,939.9054,654.08344,6.6625862,.59441048
73,980.84351,686.56873,6.6936474,.62516659
74,954.16217,886.69794,6.6027164,.68836677
75,948.57153,724.16132,6.6335425,.66256505
