age,emp,sd_emp
25,.69519836,.46048364
26,.70772445,.4549666
27,.70013571,.45835385
28,.70051086,.45818058
29,.71224731,.45284986
30,.71567565,.45121399
31,.74560547,.43562669
32,.73815,.43974259
33,.73674834,.44049594
34,.74240482,.43740347
35,.7443946,.43628988
36,.74364984,.43670273
37,.75426358,.43060645
38,.75910783,.42770451
39,.77519095,.41753244
40,.77877635,.41514254
41,.78884327,.40819922
42,.7945388,.40410551
43,.79841638,.40124905
44,.80147767,.39895156
45,.80133504,.39905867
46,.8022117,.39839458
47,.8041237,.39693576
48,.80828851,.39370957
49,.79838711,.40126684
50,.8030827,.39773184
51,.7931363,.40512127
52,.78534704,.41064736
53,.76547128,.42377114
54,.7557227,.42972815
55,.71437865,.45178333
56,.69767439,.45934182
57,.66789544,.47104722
58,.62348181,.48459414
59,.57926828,.4937602
60,.50718039,.500036
61,.43769634,.49618968
62,.37458193,.48409575
63,.29730606,.45714658
64,.24374802,.4294104
65,.1491091,.35625166
66,.096764155,.29568237
67,.082796685,.27561691
68,.060690943,.23879971
69,.043054681,.20301214
70,.035082072,.1840169
71,.026211016,.15978883
72,.027196653,.16268443
73,.017062314,.12952766
74,.018203404,.13371281
75,.014248705,.11854006
