age,job_hours_decimal,sd_job_hours_decimal,log_hours,sd_log_hours
25,.34793594,.084337331,3.5090079,.31097856
26,.34885547,.082551882,3.5141788,.29978254
27,.34819672,.084685162,3.511158,.30313402
28,.34575206,.085286841,3.5031686,.30629826
29,.34374708,.089442827,3.493511,.31937054
30,.34273186,.088886566,3.4902704,.32143837
31,.34571317,.089903243,3.4994047,.31918702
32,.34163904,.088389128,3.487402,.31987494
33,.33550483,.092343844,3.4641998,.33653486
34,.33699769,.097179413,3.4667761,.33978939
35,.33076233,.095550612,3.4467995,.34507793
36,.33384815,.094960451,3.45976,.33024698
37,.33489671,.092286415,3.463892,.32919115
38,.33538833,.09213648,3.4662962,.3247146
39,.33470061,.091904804,3.4622486,.33518279
40,.33813006,.089824878,3.4776673,.31287959
41,.3372013,.092849694,3.4718626,.32422033
42,.33433276,.093957998,3.461843,.32922775
43,.33532232,.093562916,3.4646859,.33080283
44,.33678198,.092264786,3.4719379,.31847811
45,.34156248,.091330864,3.4877086,.31362203
46,.33960772,.091330409,3.4806561,.31956181
47,.33954895,.090203173,3.4812875,.31694537
48,.34132761,.089810751,3.4869087,.31601834
49,.34196424,.091732308,3.4866066,.32521656
50,.34131414,.088475205,3.4869382,.31784233
51,.34145233,.088050134,3.4886632,.31161696
52,.34189975,.089973889,3.4887955,.31584275
53,.33970273,.089371242,3.4810028,.32227394
54,.33907962,.08784771,3.4811134,.31356254
55,.33758926,.090962224,3.4739835,.32233956
56,.33504191,.094547592,3.4627757,.33460826
57,.3313989,.095262058,3.4487798,.34590486
58,.32906926,.094609879,3.4422963,.34320045
59,.32357311,.09635821,3.422097,.35327753
60,.32117057,.098994419,3.4118598,.36050779
61,.31859729,.099404648,3.4010882,.37028387
62,.31646249,.10219568,3.3907788,.38052639
63,.31345087,.10179834,3.3812571,.37893656
64,.30554804,.10533072,3.3464592,.40645039
65,.29136479,.11110239,3.2905223,.41972211
66,.27592283,.11060975,3.233623,.41969505
67,.27553704,.11596848,3.2248943,.43734282
68,.25405642,.10754842,3.1467717,.42478076
69,.25328466,.12056003,3.1319497,.44537839
70,.23506422,.11082596,3.0516412,.46208745
71,.24812658,.13725966,3.0881667,.48767832
72,.23903847,.1268117,3.0471599,.50177687
73,.26249999,.13543244,3.1441522,.5023858
74,.24163043,.12043927,3.0702305,.48496193
75,.23136364,.11438882,3.0302219,.47858849
