age,mean_badMH
25,.48364648
26,.48782185
27,.4789688
28,.45721585
29,.46195006
30,.45567566
31,.44873047
32,.45605153
33,.4570156
34,.44929397
35,.46147573
36,.44079718
37,.45077521
38,.45390335
39,.44743544
40,.4403733
41,.43326488
42,.41824841
43,.42494226
44,.41631866
45,.42848063
46,.43254346
47,.42486724
48,.41727301
49,.43083125
50,.42214534
51,.42103592
52,.43123394
53,.42748335
54,.41399607
55,.42517892
56,.41827244
57,.41420913
58,.40721998
59,.38719511
60,.37828371
61,.35776615
62,.33578596
63,.31937683
64,.30769232
65,.29071584
66,.27162415
67,.27660227
68,.26984128
69,.25612822
70,.27840361
71,.27372262
72,.28103209
73,.28820476
74,.28056985
75,.27331606
76,.2804358
