age,mean_earnings_MH0_age,mean_earnings_MH1_age,_merge
25,1271.8516,1343.1223,matched (3)
26,1324.5947,1421.3157,matched (3)
27,1353.0741,1429.4658,matched (3)
28,1410.0896,1455.4274,matched (3)
29,1442.5901,1539.8599,matched (3)
30,1447.8458,1591.8959,matched (3)
31,1508.7789,1679.5148,matched (3)
32,1559.3402,1700.9414,matched (3)
33,1579.3186,1703.7379,matched (3)
34,1638.2189,1679.9058,matched (3)
35,1600.2892,1712.2129,matched (3)
36,1659.7433,1749.7828,matched (3)
37,1694.8334,1806.2069,matched (3)
38,1713.1027,1809.547,matched (3)
39,1722.5616,1786.3152,matched (3)
40,1718.3479,1850.1742,matched (3)
41,1711.7496,1806.7798,matched (3)
42,1711.6672,1804.5264,matched (3)
43,1718.9739,1830.5839,matched (3)
44,1738.6119,1813.0498,matched (3)
45,1756.5161,1868.9143,matched (3)
46,1754.4318,1847.4281,matched (3)
47,1750.066,1835.0046,matched (3)
48,1750.856,1830.4014,matched (3)
49,1763.4133,1820.6902,matched (3)
50,1759.8514,1816.2203,matched (3)
51,1688.6697,1861.2867,matched (3)
52,1711.4814,1848.4985,matched (3)
53,1653.1785,1804.9596,matched (3)
54,1670.946,1793.9977,matched (3)
55,1642.0092,1789.6639,matched (3)
56,1613.1653,1759.0555,matched (3)
57,1599.0618,1734.8014,matched (3)
58,1533.4847,1724.401,matched (3)
59,1457.7859,1664.1528,matched (3)
60,1494.9944,1555.1268,matched (3)
61,1473.8837,1536.4343,matched (3)
62,1453.1975,1521.9152,matched (3)
63,1426.6355,1524.571,matched (3)
64,1421.626,1489.0653,matched (3)
65,1512.8054,1354.7346,matched (3)
66,1357.9253,1409.4691,matched (3)
67,1404.8262,1297.7518,matched (3)
68,1538.4049,1143.4185,matched (3)
69,998.90771,1046.062,matched (3)
70,1195.5067,966.50824,matched (3)
71,1557.1956,989.71484,matched (3)
72,670.72144,998.78937,matched (3)
73,844.61127,1009.5239,matched (3)
74,694.19287,1000.8233,matched (3)
75,516.66748,1008.1445,matched (3)
76,640.73248,938.63141,matched (3)
