age,mean_earnings_MHT0_age,mean_earnings_MHT1_age,_merge
25,1278.562,1350.901,matched (3)
26,1339.3269,1421.8623,matched (3)
27,1339.4244,1457.3616,matched (3)
28,1367.8829,1507.59,matched (3)
29,1417.6917,1580.2893,matched (3)
30,1446.9851,1618.995,matched (3)
31,1515.5385,1703.22,matched (3)
32,1562.7323,1722.6437,matched (3)
33,1547.8694,1752.8765,matched (3)
34,1586.9536,1734.4734,matched (3)
35,1573.4471,1752.4432,matched (3)
36,1623.3397,1796.7245,matched (3)
37,1668.4066,1846.7095,matched (3)
38,1707.8717,1829.8005,matched (3)
39,1694.1232,1825.7563,matched (3)
40,1729.5659,1864.1559,matched (3)
41,1688.3694,1845.0464,matched (3)
42,1668.5197,1861.0425,matched (3)
43,1727.1136,1844.3048,matched (3)
44,1690.0105,1872.1163,matched (3)
45,1749.6705,1892.2369,matched (3)
46,1757.9739,1859.4832,matched (3)
47,1718.3191,1875.1659,matched (3)
48,1737.3895,1857.8522,matched (3)
49,1750.6565,1841.0728,matched (3)
50,1727.0702,1855.3123,matched (3)
51,1730.6385,1855.7943,matched (3)
52,1721.9474,1862.2627,matched (3)
53,1676.9589,1812.3334,matched (3)
54,1678.8905,1808.8452,matched (3)
55,1682.2557,1781.3743,matched (3)
56,1630.8816,1771.1487,matched (3)
57,1595.5629,1768.0056,matched (3)
58,1543.4882,1758.3743,matched (3)
59,1508.5049,1675.6005,matched (3)
60,1449.0811,1611.4543,matched (3)
61,1456.3442,1572.6644,matched (3)
62,1419.3641,1574.52,matched (3)
63,1430.465,1554.8737,matched (3)
64,1449.9266,1490.09,matched (3)
65,1417.6388,1367.8939,matched (3)
66,1470.2351,1331.3342,matched (3)
67,1407.1034,1249.4911,matched (3)
68,1343.9878,1113.827,matched (3)
69,1144.3844,934.0752,matched (3)
70,1135.6145,912.56934,matched (3)
71,989.54755,1100.8636,matched (3)
72,833.21307,1031.356,matched (3)
73,674.97748,1216.125,matched (3)
74,942.77802,959.67065,matched (3)
75,475.07599,1154.4391,matched (3)
76,613.82544,1052.0253,matched (3)
