age,mean_hours_MH0_age,mean_hours_MH1_age,_merge
25,.3419885,.35252306,matched (3)
26,.33836189,.35776547,matched (3)
27,.34045789,.35449386,matched (3)
28,.34037977,.3494187,matched (3)
29,.33385655,.35071123,matched (3)
30,.33645138,.3471258,matched (3)
31,.34044325,.34964001,matched (3)
32,.33595765,.34562144,matched (3)
33,.32986629,.33952069,matched (3)
34,.33506808,.33831844,matched (3)
35,.32526064,.33481923,matched (3)
36,.32747519,.33814159,matched (3)
37,.32774812,.33990821,matched (3)
38,.32996798,.33919933,matched (3)
39,.33234107,.33630338,matched (3)
40,.33180434,.34217685,matched (3)
41,.3322545,.34032413,matched (3)
42,.32819423,.33805725,matched (3)
43,.33165166,.33753443,matched (3)
44,.32985038,.34089398,matched (3)
45,.33780849,.34389454,matched (3)
46,.33883232,.34010825,matched (3)
47,.33730832,.34091067,matched (3)
48,.3382245,.34310654,matched (3)
49,.34198767,.34195006,matched (3)
50,.33801258,.34328723,matched (3)
51,.33945632,.34263161,matched (3)
52,.33644974,.34521857,matched (3)
53,.33684909,.34136549,matched (3)
54,.33350059,.3422004,matched (3)
55,.32819185,.34305981,matched (3)
56,.328307,.33895707,matched (3)
57,.33039412,.33195859,matched (3)
58,.32706895,.33012396,matched (3)
59,.31494474,.32778591,matched (3)
60,.31883794,.32228804,matched (3)
61,.32221204,.31701377,matched (3)
62,.31914634,.31535101,matched (3)
63,.32058686,.31063774,matched (3)
64,.30344975,.30623063,matched (3)
65,.30115741,.28849864,matched (3)
66,.27884614,.27494422,matched (3)
67,.2960577,.27064219,matched (3)
68,.245,.25632051,matched (3)
69,.26161289,.25084907,matched (3)
70,.26979166,.22525883,matched (3)
71,.33944446,.23638572,matched (3)
72,.18607143,.25062501,matched (3)
73,.20937501,.2736842,matched (3)
74,.205,.24820513,matched (3)
75,.14375,.24344827,matched (3)
76,.16500001,.22428572,matched (3)
