age,mean_earnings_MH0_age,mean_earnings_MH1_age,_merge
25,7.048008,7.1125765,matched (3)
26,7.0605555,7.1637444,matched (3)
27,7.0823169,7.1563644,matched (3)
28,7.1216106,7.1762805,matched (3)
29,7.1338449,7.201498,matched (3)
30,7.1349216,7.2210546,matched (3)
31,7.1783381,7.2650633,matched (3)
32,7.1821938,7.2848234,matched (3)
33,7.1820869,7.2842231,matched (3)
34,7.2376442,7.2791209,matched (3)
35,7.2006807,7.2904625,matched (3)
36,7.2365451,7.2856517,matched (3)
37,7.2577095,7.3148265,matched (3)
38,7.2638965,7.3372903,matched (3)
39,7.2756658,7.3191466,matched (3)
40,7.301434,7.3523827,matched (3)
41,7.2703924,7.3256545,matched (3)
42,7.2785959,7.3129539,matched (3)
43,7.2615461,7.3436975,matched (3)
44,7.275013,7.336587,matched (3)
45,7.3074379,7.3610492,matched (3)
46,7.2933378,7.3383322,matched (3)
47,7.2745819,7.3339443,matched (3)
48,7.2861967,7.3311019,matched (3)
49,7.2916374,7.3174186,matched (3)
50,7.2997351,7.3306146,matched (3)
51,7.2647047,7.340939,matched (3)
52,7.2861753,7.3449154,matched (3)
53,7.2575345,7.329607,matched (3)
54,7.2566276,7.3133407,matched (3)
55,7.2215228,7.316215,matched (3)
56,7.2052603,7.3035164,matched (3)
57,7.2226677,7.2536321,matched (3)
58,7.1681666,7.2665687,matched (3)
59,7.1065607,7.2211018,matched (3)
60,7.142087,7.1536026,matched (3)
61,7.1002154,7.0980091,matched (3)
62,7.087925,7.084939,matched (3)
63,7.0801401,7.0620179,matched (3)
64,7.0204921,7.0234461,matched (3)
65,6.9831281,6.9288116,matched (3)
66,6.8183389,6.8509154,matched (3)
67,6.8217511,6.8163314,matched (3)
68,6.9108458,6.6888065,matched (3)
69,6.3746428,6.5660834,matched (3)
70,6.7398953,6.53896,matched (3)
71,6.7203736,6.4993639,matched (3)
72,6.2144356,6.5340295,matched (3)
73,6.2981215,6.5403919,matched (3)
74,6.1879382,6.3180437,matched (3)
75,5.8583722,6.36552,matched (3)
76,6.3434901,6.4520879,matched (3)
