age,mean_log_wage_MH0_age,mean_log_wage_MH1_age,_merge
25,2.1882322,2.2066617,matched (3)
26,2.2271442,2.2455392,matched (3)
27,2.237196,2.2539392,matched (3)
28,2.2716587,2.2847643,matched (3)
29,2.3081162,2.3210652,matched (3)
30,2.3087289,2.3632071,matched (3)
31,2.3397319,2.4059663,matched (3)
32,2.3750646,2.4270465,matched (3)
33,2.3926845,2.4417918,matched (3)
34,2.4077551,2.4350259,matched (3)
35,2.4161623,2.4656634,matched (3)
36,2.4523149,2.4697752,matched (3)
37,2.4632416,2.4932981,matched (3)
38,2.4609425,2.4967358,matched (3)
39,2.4654868,2.4919112,matched (3)
40,2.4671865,2.5049388,matched (3)
41,2.4567027,2.4846065,matched (3)
42,2.4731348,2.4875207,matched (3)
43,2.4657245,2.50386,matched (3)
44,2.4658439,2.4849529,matched (3)
45,2.4590886,2.506191,matched (3)
46,2.456115,2.5017562,matched (3)
47,2.451592,2.4863825,matched (3)
48,2.4592757,2.4793131,matched (3)
49,2.4510403,2.4749796,matched (3)
50,2.4581871,2.4723759,matched (3)
51,2.429626,2.4886081,matched (3)
52,2.4471354,2.4849453,matched (3)
53,2.418761,2.4784055,matched (3)
54,2.4299374,2.4671657,matched (3)
55,2.4300108,2.4593725,matched (3)
56,2.4092965,2.4628649,matched (3)
57,2.4075863,2.4634044,matched (3)
58,2.3823862,2.4590189,matched (3)
59,2.3551049,2.4364858,matched (3)
60,2.3762426,2.400239,matched (3)
61,2.3543541,2.3922503,matched (3)
62,2.349812,2.3842564,matched (3)
63,2.3337879,2.385509,matched (3)
64,2.3771107,2.3877385,matched (3)
65,2.4023364,2.349906,matched (3)
66,2.3518341,2.3948832,matched (3)
67,2.3088331,2.3363106,matched (3)
68,2.5521231,2.2957075,matched (3)
69,2.2042785,2.2506859,matched (3)
70,2.268667,2.2788751,matched (3)
71,2.2764206,2.219662,matched (3)
72,2.2053716,2.2343295,matched (3)
73,2.2415648,2.1467032,matched (3)
74,2.0747187,2.1590202,matched (3)
75,2.1442606,2.2270627,matched (3)
76,2.1874306,2.27267,matched (3)
