age,mean_wage_MH0_age,mean_wage_MH1_age,_merge
25,9.3892803,9.5043182,matched (3)
26,9.8612413,9.9674559,matched (3)
27,9.8446474,10.060608,matched (3)
28,10.308229,10.327887,matched (3)
29,10.717981,10.853794,matched (3)
30,10.644136,11.398892,matched (3)
31,11.007171,11.971018,matched (3)
32,11.565506,12.218785,matched (3)
33,11.797594,12.399744,matched (3)
34,12.072441,12.272473,matched (3)
35,12.290506,12.770243,matched (3)
36,12.566206,12.890845,matched (3)
37,12.769437,13.202701,matched (3)
38,12.761528,13.204495,matched (3)
39,12.742576,13.211506,matched (3)
40,12.861813,13.386942,matched (3)
41,12.749726,13.137402,matched (3)
42,12.984026,13.239306,matched (3)
43,12.882043,13.484215,matched (3)
44,13.018346,13.18484,matched (3)
45,12.853327,13.522211,matched (3)
46,12.809757,13.402203,matched (3)
47,12.781066,13.249601,matched (3)
48,12.757403,13.197132,matched (3)
49,12.744183,13.218782,matched (3)
50,12.868436,13.121339,matched (3)
51,12.437479,13.460445,matched (3)
52,12.627092,13.424149,matched (3)
53,12.261707,13.241514,matched (3)
54,12.392142,13.107465,matched (3)
55,12.488689,12.987199,matched (3)
56,12.271172,12.978819,matched (3)
57,12.193506,13.16587,matched (3)
58,11.785874,13.074441,matched (3)
59,11.48496,12.756186,matched (3)
60,11.649885,12.255315,matched (3)
61,11.431874,12.183488,matched (3)
62,11.373304,12.259258,matched (3)
63,11.118621,12.422489,matched (3)
64,12.054748,12.215858,matched (3)
65,12.408034,11.751521,matched (3)
66,11.732961,12.811026,matched (3)
67,11.05019,11.981898,matched (3)
68,16.216434,11.534247,matched (3)
69,9.8460169,10.383929,matched (3)
70,11.014414,11.363012,matched (3)
71,10.638717,10.077104,matched (3)
72,9.6346407,10.246367,matched (3)
73,10.183836,9.0181732,matched (3)
74,8.0626659,9.7595291,matched (3)
75,8.906271,9.9012928,matched (3)
76,9.4416456,10.473251,matched (3)
