age,var_log_lab_inc
25,.20105506
26,.2263319
27,.24645001
28,.24106324
29,.29136491
30,.30751294
31,.31701916
32,.33504191
33,.35675859
34,.32062092
35,.34177399
36,.36809734
37,.36942303
38,.35180956
39,.36199084
40,.33461767
41,.3588981
42,.36153588
43,.36231744
44,.35132438
45,.34913054
46,.3680833
47,.37418708
48,.36128148
49,.37607858
50,.35166702
51,.35266846
52,.33996546
53,.33022878
54,.34154183
55,.35334995
56,.34246889
57,.36044556
58,.35180369
59,.37224516
60,.35958588
61,.41080579
62,.42807359
63,.46652225
64,.47835115
65,.50813305
66,.62598014
67,.57262057
68,.55981368
69,.61631441
70,.53927523
71,.57828903
72,.60917866
73,.45248669
74,.79085582
75,.63527805
76,.50971341
