age,wage,sd_wage,log_wage,sd_log_wage
25,9.4542265,3.2023935,2.1986368,.29955208
26,9.9186831,4.3603611,2.2370925,.3155477
27,9.9637184,3.5752137,2.2464275,.31449544
28,10.319913,3.8354557,2.279448,.31856307
29,10.797678,4.3858213,2.3157148,.34280306
30,11.088211,4.6032181,2.3407822,.34652787
31,11.559473,4.8961391,2.3776855,.36143127
32,11.949573,5.4425349,2.4056251,.37313139
33,12.149273,5.2019682,2.421365,.37930691
34,12.191193,5.365314,2.4239447,.38185361
35,12.566631,6.3661194,2.444654,.3975561
36,12.760171,6.3233557,2.4627471,.39510518
37,13.02414,5.9339643,2.4809108,.40466517
38,13.021625,5.7540154,2.4819593,.40491238
39,13.021821,5.9788475,2.4812224,.40219834
40,13.182065,6.0023832,2.4902098,.41226745
41,12.987377,5.9752789,2.4738083,.41542143
42,13.142908,6.3594155,2.4820883,.42007181
43,13.257778,6.4370861,2.4895198,.42338017
44,13.122847,6.5160503,2.4778378,.4253552
45,13.265907,6.6762395,2.4881423,.42481059
46,13.169798,6.208385,2.4838519,.42315766
47,13.07249,6.4674878,2.4732313,.42635852
48,13.036902,6.377872,2.4720118,.42304865
49,13.039563,6.660707,2.4659395,.43438077
50,13.026735,6.5039454,2.4670682,.43200085
51,13.080522,7.1678672,2.4667025,.43396968
52,13.12248,6.9430113,2.4706352,.43477377
53,12.880789,6.7960215,2.4564469,.42469519
54,12.850865,6.8033686,2.4538112,.42623022
55,12.803777,6.7384648,2.4485691,.4288483
56,12.718675,6.6045604,2.4431722,.42649847
57,12.818005,7.3836622,2.4434354,.43496755
58,12.629579,7.0207958,2.4325624,.42924523
59,12.339134,6.9031653,2.4097872,.4270516
60,12.059219,6.626204,2.3924665,.41323331
61,11.954528,6.6240592,2.3807063,.41765159
62,11.9998,8.0343866,2.3741691,.42915392
63,12.053819,7.471498,2.3708849,.44931954
64,12.176313,7.952682,2.3851297,.43961677
65,11.900166,6.6961832,2.3617771,.45127851
66,12.540643,8.8618317,2.3840864,.48974141
67,11.802458,7.975646,2.3310187,.47864133
68,12.470685,13.137603,2.3469906,.49374062
69,10.262212,5.08605,2.240185,.39682019
70,11.286257,8.7188272,2.2766275,.47988778
71,10.141085,5.0641818,2.2261281,.40098861
72,10.136569,5.1321702,2.2291319,.3893252
73,9.2208977,3.3848953,2.1632009,.33626252
74,9.5013103,5.7097006,2.1461918,.41973358
75,9.7806845,3.8205957,2.2170262,.35111839
