age,wage,sd_wage,_merge
25,12.664071,3.1353517,matched (3)
26,12.807821,3.0455337,matched (3)
27,13.136786,3.3950894,matched (3)
28,13.323792,3.4805539,matched (3)
29,13.636621,3.6895926,matched (3)
30,13.964072,3.9408903,matched (3)
31,14.241218,3.9760561,matched (3)
32,14.59765,4.4380069,matched (3)
33,14.823833,4.6582704,matched (3)
34,14.879521,4.468266,matched (3)
35,15.260219,4.8938894,matched (3)
36,15.463045,4.9073405,matched (3)
37,15.72374,5.1617289,matched (3)
38,15.832792,5.3010068,matched (3)
39,15.888507,5.3906503,matched (3)
40,16.101416,5.6329274,matched (3)
41,15.989849,5.5226407,matched (3)
42,16.133612,5.7119389,matched (3)
43,16.27405,5.7654223,matched (3)
44,16.308546,5.7771397,matched (3)
45,16.371935,5.8049989,matched (3)
46,16.256073,5.8525019,matched (3)
47,16.229053,5.846684,matched (3)
48,16.185545,5.7373891,matched (3)
49,16.289164,5.9731612,matched (3)
50,16.242449,5.9382329,matched (3)
51,16.263647,5.9548817,matched (3)
52,16.159851,5.8464065,matched (3)
53,16.093531,5.8914671,matched (3)
54,16.067301,5.662158,matched (3)
55,16.127604,5.8000722,matched (3)
56,15.921552,5.7678638,matched (3)
57,15.968184,5.8140364,matched (3)
58,15.822367,5.812943,matched (3)
59,15.869336,5.9396734,matched (3)
60,15.527577,5.4556727,matched (3)
61,15.463291,5.8437314,matched (3)
62,15.535759,5.8805199,matched (3)
63,15.732956,5.9216437,matched (3)
64,15.763912,5.8925476,matched (3)
65,16.545752,6.7065949,matched (3)
66,16.495142,6.7297158,matched (3)
67,16.69488,6.7439251,matched (3)
68,16.41968,6.8662119,matched (3)
69,15.609459,6.9350643,matched (3)
70,15.459973,7.2883987,matched (3)
71,15.052504,5.889945,matched (3)
72,14.852154,5.6655335,matched (3)
73,15.13492,6.1672173,matched (3)
74,14.949697,4.1922622,matched (3)
75,13.36515,4.4340558,matched (3)
