age,emp,sd_emp,_merge
25,.72191799,.44808716,matched (3)
26,.73512703,.44129851,matched (3)
27,.73242599,.44272733,matched (3)
28,.74563736,.43553454,matched (3)
29,.74427092,.4363021,matched (3)
30,.75180656,.43199468,matched (3)
31,.75503725,.43009478,matched (3)
32,.75666171,.42912665,matched (3)
33,.75535166,.42990708,matched (3)
34,.76953435,.42115861,matched (3)
35,.77000636,.42085528,matched (3)
36,.76955396,.4211444,matched (3)
37,.78116482,.41348222,matched (3)
38,.78531212,.41063026,matched (3)
39,.79293871,.40522346,matched (3)
40,.79573411,.40318692,matched (3)
41,.80453932,.39657733,matched (3)
42,.80808192,.39383069,matched (3)
43,.80802828,.39387271,matched (3)
44,.81311047,.38984397,matched (3)
45,.81493366,.38837212,matched (3)
46,.82008994,.38413307,matched (3)
47,.81885457,.38515928,matched (3)
48,.81804496,.38582823,matched (3)
49,.81522089,.38813913,matched (3)
50,.80913806,.39300174,matched (3)
51,.80448157,.39662105,matched (3)
52,.79599822,.40299281,matched (3)
53,.78887129,.40813267,matched (3)
54,.77788126,.41569474,matched (3)
55,.74885362,.43369806,matched (3)
56,.73049134,.44373128,matched (3)
57,.70675391,.4552784,matched (3)
58,.68003458,.46649161,matched (3)
59,.64491093,.47857076,matched (3)
60,.5782631,.49386901,matched (3)
61,.52144873,.49957183,matched (3)
62,.46104148,.49851212,matched (3)
63,.40591362,.4910998,matched (3)
64,.346733,.47596103,matched (3)
65,.2485294,.43218923,matched (3)
66,.18694645,.38989511,matched (3)
67,.16034459,.36695084,matched (3)
68,.1344768,.34118846,matched (3)
69,.11262249,.31615391,matched (3)
70,.086528264,.28116384,matched (3)
71,.077688299,.2677016,matched (3)
72,.069925435,.25504243,matched (3)
73,.059883412,.23729166,matched (3)
74,.048988085,.21586354,matched (3)
75,.045436189,.20827986,matched (3)
