age,emp,sd_emp,_merge
25,.98895025,.10482527,matched (3)
26,.9848485,.12246507,matched (3)
27,.98678416,.11445045,matched (3)
28,.97526503,.15559147,matched (3)
29,.96562499,.18247579,matched (3)
30,.95618558,.20494629,matched (3)
31,.95999998,.19616579,matched (3)
32,.96840149,.17509149,matched (3)
33,.97335702,.1611809,matched (3)
34,.9590444,.19835678,matched (3)
35,.97073174,.16869479,matched (3)
36,.95461422,.2083064,matched (3)
37,.9722628,.16433898,matched (3)
38,.98328692,.1282836,matched (3)
39,.97510374,.15591685,matched (3)
40,.98651963,.11539059,matched (3)
41,.99622166,.06139062,matched (3)
42,.99045348,.097296968,matched (3)
43,.99761623,.048794933,matched (3)
44,.99186045,.089903735,matched (3)
45,.99772984,.047618985,matched (3)
46,.99101126,.094435088,matched (3)
47,.99316627,.082430288,matched (3)
48,.99662924,.057993129,matched (3)
49,.99292451,.083867177,matched (3)
50,.99650347,.059062202,matched (3)
51,.99194479,.089440227,matched (3)
52,.99757576,.049206711,matched (3)
53,.99518073,.069295287,matched (3)
54,.99871629,.035828717,matched (3)
55,.99007094,.099219225,matched (3)
56,.99710983,.053721417,matched (3)
57,.98892403,.10474078,matched (3)
58,.99047619,.097201355,matched (3)
59,.99267399,.085356198,matched (3)
60,.98639458,.11597773,matched (3)
61,.99453551,.073820792,matched (3)
62,.99112427,.093931168,matched (3)
63,.98888886,.10501667,matched (3)
64,.98785424,.10975884,matched (3)
65,.95999998,.19674775,matched (3)
66,.96551722,.18352339,matched (3)
67,.969697,.17273341,matched (3)
68,.98076922,.13867505,matched (3)
69,1,0,matched (3)
70,.94999999,.2236068,matched (3)
71,.8888889,.32338083,matched (3)
72,1,0,matched (3)
73,1,0,matched (3)
74,.8888889,.33333334,matched (3)
75,1,0,matched (3)
