age,job_hours_decimal
25,.35657144
26,.35914111
27,.35501117
28,.35610384
29,.35294092
30,.34743652
31,.34380981
32,.34526628
33,.34584799
34,.34361169
35,.33511189
36,.33426306
37,.33985528
38,.34140316
39,.34063461
40,.33656555
41,.34211111
42,.34182861
43,.34200379
44,.34322181
45,.34802076
46,.34505129
47,.34372592
48,.34728131
49,.35064113
50,.34777525
51,.34454218
52,.34541312
53,.34559476
54,.34347323
55,.33955556
56,.33519524
57,.33680546
58,.33566558
59,.33458301
60,.33350679
61,.32652867
62,.33419013
63,.32492983
64,.31732142
65,.3347826
66,.32220587
67,.31843749
68,.3035
69,.265625
70,.29722223
71,.27125001
72,.23
73,.25
