age,wage,sd_wage,_merge
25,12.634782,2.3281441,matched (3)
26,12.986983,3.7166824,matched (3)
27,13.184952,3.660387,matched (3)
28,13.087186,3.4925227,matched (3)
29,13.766787,3.7765262,matched (3)
30,14.16536,4.3832617,matched (3)
31,14.407781,4.1954794,matched (3)
32,14.780004,4.6944289,matched (3)
33,14.752751,4.8431735,matched (3)
34,14.829321,4.5293999,matched (3)
35,15.239668,4.6440024,matched (3)
36,15.451333,4.617528,matched (3)
37,15.857166,5.2633557,matched (3)
38,15.81046,5.2073674,matched (3)
39,15.717621,5.2439795,matched (3)
40,16.232813,5.7960353,matched (3)
41,16.021145,5.4356771,matched (3)
42,16.136225,5.6879516,matched (3)
43,16.396358,5.8106103,matched (3)
44,16.207457,5.5271468,matched (3)
45,16.329195,5.9831853,matched (3)
46,16.272255,5.7010083,matched (3)
47,16.357389,6.016921,matched (3)
48,16.383411,6.1333222,matched (3)
49,16.632305,6.2627001,matched (3)
50,16.487421,6.1097307,matched (3)
51,16.593731,6.509604,matched (3)
52,16.652853,6.1974673,matched (3)
53,16.294077,6.0603905,matched (3)
54,16.0634,5.6957994,matched (3)
55,16.342161,6.1100283,matched (3)
56,16.166473,6.036675,matched (3)
57,16.127119,5.7814393,matched (3)
58,16.05279,5.7399411,matched (3)
59,16.060133,6.1316514,matched (3)
60,15.202215,4.9459372,matched (3)
61,15.670997,6.0075483,matched (3)
62,15.553432,5.5894604,matched (3)
63,16.3766,6.7936292,matched (3)
64,15.959514,5.9083023,matched (3)
65,16.551434,6.5898213,matched (3)
66,17.309116,7.2144413,matched (3)
67,17.713638,7.5577836,matched (3)
68,14.866972,6.133214,matched (3)
69,14.622532,6.1668229,matched (3)
70,15.279586,6.0769706,matched (3)
71,14.247281,5.8749681,matched (3)
72,13.438368,4.0501251,matched (3)
73,11.554742,1.0181051,matched (3)
74,14.162912,4.2812972,matched (3)
75,12.118867,2.5150235,matched (3)
